Run;Vega_MC;Vega_Antithetic
467;-0.0138196;-0.02327
468;-0.000619439;-0.000451046
469;0.00604561;-0.203631
470;0.0989101;-0.00028534
471;0.000129751;-0.285615
472;-1.00913;-0.000314111
473;0.00104073;-0.00560925
474;0.000538755;-0.00241926
475;0.243134;-9.04573e-05
476;0.00133102;-0.000904444
477;-0.000787041;-0.00410999
478;0.00117345;-0.000796979
479;0.0812704;-0.000592689
480;-0.0475769;-0.00290693
481;0.00434584;-0.00287609
482;-4.84503;-0.000883315
483;-0.00852813;0
484;-0.0336956;-0.00412462
485;-0.00395328;-0.00290878
486;0.000292263;-0.000227841
487;-0.00109576;-0.00232567
488;-0.000258653;-0.0162442
489;0.0828906;-0.000626994
490;-0.0300658;-0.0117607
491;0.0736129;-0.000566437
492;0.00328513;-0.000656256
493;-0.00346119;-0.00542218
494;-0.234964;-0.00773475
495;-0.00200528;-0.0178142
496;-0.000188171;-0.272497
497;0.00165522;-0.0201713
498;0.00275379;-0.0014643
499;0.0177033;-0.00418264
