nSimulations;Vega_MC;Vega_BS;Relative_Error
439000;-0.0192795;37.524;1.00051
440000;-0.0699335;37.524;1.00186
441000;0.00160114;37.524;0.999957
442000;-0.0147702;37.524;1.00039
443000;-0.0932065;37.524;1.00248
444000;-3.22903;37.524;1.08605
445000;0.281226;37.524;0.992505
446000;-6.52251;37.524;1.17382
447000;0.0263228;37.524;0.999299
448000;-0.0113821;37.524;1.0003
449000;-0.19188;37.524;1.00511
450000;0.0565381;37.524;0.998493
451000;-0.250733;37.524;1.00668
452000;-0.0170839;37.524;1.00046
453000;-0.0956575;37.524;1.00255
454000;0.0558259;37.524;0.998512
455000;-0.00476016;37.524;1.00013
456000;-0.258924;37.524;1.0069
457000;0.000574803;37.524;0.999985
458000;-0.00276355;37.524;1.00007
459000;-0.236923;37.524;1.00631
460000;-0.0322967;37.524;1.00086
461000;-0.766432;37.524;1.02043
462000;-0.162684;37.524;1.00434
463000;-0.0338756;37.524;1.0009
464000;-0.118455;37.524;1.00316
465000;-1.16754;37.524;1.03111
466000;-0.0285132;37.524;1.00076
467000;0.0196493;37.524;0.999476
468000;-0.0481529;37.524;1.00128
469000;-0.0308694;37.524;1.00082
470000;-0.00855908;37.524;1.00023
471000;-0.0100727;37.524;1.00027
472000;0.0137996;37.524;0.999632
473000;1.40902;37.524;0.96245
474000;0.0409921;37.524;0.998908
475000;1.49715;37.524;0.960101
476000;-0.0124215;37.524;1.00033
477000;-0.0850234;37.524;1.00227
478000;-0.0157627;37.524;1.00042
479000;0.942713;37.524;0.974877
480000;0.0232533;37.524;0.99938
481000;-0.0813986;37.524;1.00217
482000;0.0361105;37.524;0.999038
483000;-0.0240916;37.524;1.00064
484000;0.0507619;37.524;0.998647
485000;0.010728;37.524;0.999714
486000;-0.0643903;37.524;1.00172
487000;-0.0849398;37.524;1.00226
488000;-0.792454;37.524;1.02112
489000;-0.0417766;37.524;1.00111
490000;-0.0161047;37.524;1.00043
491000;-0.0481154;37.524;1.00128
492000;-0.00734556;37.524;1.0002
493000;0.00941093;37.524;0.999749
494000;-0.258607;37.524;1.00689
495000;-0.177898;37.524;1.00474
496000;-0.564;37.524;1.01503
497000;0.0265957;37.524;0.999291
498000;-0.024344;37.524;1.00065
499000;-0.103472;37.524;1.00276
500000;-0.0223779;37.524;1.0006
501000;-0.0596025;37.524;1.00159
502000;-0.0831138;37.524;1.00221
503000;-0.0538261;37.524;1.00143
504000;-0.745939;37.524;1.01988
505000;-0.0172557;37.524;1.00046
506000;-0.00369201;37.524;1.0001
507000;-0.0191832;37.524;1.00051
508000;-1.06462;37.524;1.02837
509000;-0.0373196;37.524;1.00099
510000;-0.0568047;37.524;1.00151
511000;-0.126901;37.524;1.00338
512000;-0.0523821;37.524;1.0014
513000;0.0399537;37.524;0.998935
514000;0.674689;37.524;0.98202
515000;0.00389819;37.524;0.999896
516000;-0.0185228;37.524;1.00049
517000;-0.0141979;37.524;1.00038
518000;-0.0533011;37.524;1.00142
519000;-0.0217471;37.524;1.00058
520000;-0.183145;37.524;1.00488
521000;-0.0319048;37.524;1.00085
522000;-0.076183;37.524;1.00203
523000;-0.0136735;37.524;1.00036
524000;-0.198068;37.524;1.00528
525000;-0.0494652;37.524;1.00132
526000;-0.0495006;37.524;1.00132
527000;0.0217313;37.524;0.999421
528000;-0.124989;37.524;1.00333
529000;-0.109924;37.524;1.00293
530000;-0.0137921;37.524;1.00037
531000;-0.67968;37.524;1.01811
532000;-0.0375238;37.524;1.001
533000;-0.0614923;37.524;1.00164
534000;-0.0787397;37.524;1.0021
535000;-0.256121;37.524;1.00683
536000;0.0101102;37.524;0.999731
537000;-0.175725;37.524;1.00468
538000;-0.0380826;37.524;1.00101
539000;0.0534581;37.524;0.998575
540000;-0.0932591;37.524;1.00249
541000;-0.458491;37.524;1.01222
542000;0.673158;37.524;0.982061
543000;-0.0202464;37.524;1.00054
544000;-0.0159302;37.524;1.00042
545000;-1.44822;37.524;1.03859
546000;-0.0208125;37.524;1.00055
547000;-0.00795112;37.524;1.00021
548000;0.219892;37.524;0.99414
549000;-0.0832086;37.524;1.00222
550000;-0.00519765;37.524;1.00014
551000;0.0133963;37.524;0.999643
552000;-0.258179;37.524;1.00688
553000;-1.17095;37.524;1.03121
554000;0.0170549;37.524;0.999545
555000;0.0457758;37.524;0.99878
556000;-0.0682375;37.524;1.00182
557000;0.0014505;37.524;0.999961
558000;-0.599869;37.524;1.01599
559000;-0.245232;37.524;1.00654
560000;-0.0609042;37.524;1.00162
561000;6.84934;37.524;0.817468
562000;-0.0540955;37.524;1.00144
563000;-0.00996365;37.524;1.00027
564000;-1.26028;37.524;1.03359
565000;-10.1725;37.524;1.27109
566000;-0.393721;37.524;1.01049
567000;-0.0750562;37.524;1.002
568000;-0.0675111;37.524;1.0018
569000;-0.0630556;37.524;1.00168
570000;-0.192812;37.524;1.00514
571000;0.0740724;37.524;0.998026
572000;-0.0213342;37.524;1.00057
573000;-0.0890983;37.524;1.00237
574000;-0.00979695;37.524;1.00026
575000;-0.0709897;37.524;1.00189
576000;-0.0192255;37.524;1.00051
577000;-0.0269328;37.524;1.00072
578000;-0.0538634;37.524;1.00144
579000;0.0838199;37.524;0.997766
580000;0.0293515;37.524;0.999218
581000;-0.0383859;37.524;1.00102
582000;-0.0343957;37.524;1.00092
583000;0.335289;37.524;0.991065
584000;-0.108602;37.524;1.00289
585000;-2.42942;37.524;1.06474
586000;0.02641;37.524;0.999296
587000;-0.0392233;37.524;1.00105
588000;-0.464757;37.524;1.01239
589000;-0.0409758;37.524;1.00109
590000;-0.0369236;37.524;1.00098
591000;-0.499536;37.524;1.01331
592000;-0.328676;37.524;1.00876
593000;0.309008;37.524;0.991765
594000;-0.605512;37.524;1.01614
595000;0.0100091;37.524;0.999733
596000;-0.417284;37.524;1.01112
597000;-0.0163617;37.524;1.00044
598000;-0.237504;37.524;1.00633
599000;-0.0216363;37.524;1.00058
600000;0.00169712;37.524;0.999955
601000;-0.0152306;37.524;1.00041
602000;-0.39854;37.524;1.01062
603000;-0.0843837;37.524;1.00225
604000;-15.4217;37.524;1.41098
605000;-0.23816;37.524;1.00635
606000;-1.03603;37.524;1.02761
607000;-0.0339969;37.524;1.00091
608000;-0.00704681;37.524;1.00019
609000;-0.00594969;37.524;1.00016
610000;-0.00565496;37.524;1.00015
611000;-0.433768;37.524;1.01156
612000;-0.0624847;37.524;1.00167
613000;0.137438;37.524;0.996337
614000;-0.0267242;37.524;1.00071
615000;-0.0167527;37.524;1.00045
616000;-0.220009;37.524;1.00586
617000;-0.0341542;37.524;1.00091
618000;-0.0298987;37.524;1.0008
619000;-0.0474723;37.524;1.00127
620000;-0.0484124;37.524;1.00129
621000;-0.0736003;37.524;1.00196
622000;-0.22897;37.524;1.0061
623000;0.0460494;37.524;0.998773
624000;-0.000179784;37.524;1
625000;0.0111391;37.524;0.999703
626000;0.2342;37.524;0.993759
627000;-0.004343;37.524;1.00012
628000;0.00178314;37.524;0.999952
629000;0.00841987;37.524;0.999776
630000;0.586727;37.524;0.984364
631000;-0.0721789;37.524;1.00192
632000;1.27052;37.524;0.966141
633000;-2.69781;37.524;1.0719
634000;-1.14503;37.524;1.03051
635000;-0.0585746;37.524;1.00156
636000;-0.291887;37.524;1.00778
637000;-0.0273029;37.524;1.00073
638000;-0.0182164;37.524;1.00049
639000;-0.706435;37.524;1.01883
640000;-0.0934446;37.524;1.00249
641000;0.0373654;37.524;0.999004
642000;-0.00811694;37.524;1.00022
643000;-0.173715;37.524;1.00463
644000;0.000407812;37.524;0.999989
