Run;Delta_PW;Delta_PW_Ant;Delta_PW_Ant_CV
333;0.593004;0.590243;5.23104
334;0.590994;0.590423;5.23753
335;0.587743;0.590491;5.22108
336;0.598716;0.590857;5.22262
337;0.59305;0.58988;5.22829
338;0.588146;0.592189;5.21967
339;0.584502;0.589482;5.21646
340;0.587975;0.590134;5.21719
341;0.596475;0.591527;5.22446
342;0.599492;0.589731;5.20904
343;0.595022;0.588174;5.22598
344;0.595307;0.590205;5.21826
345;0.591062;0.591389;5.22075
346;0.594886;0.587893;5.22089
347;0.590771;0.589949;5.22107
348;0.594123;0.590031;5.22424
349;0.592546;0.592788;5.21971
350;0.589947;0.591417;5.22083
351;0.590082;0.59094;5.23436
352;0.593218;0.592563;5.22751
353;0.597113;0.58991;5.22586
354;0.583351;0.592145;5.21976
355;0.592932;0.588621;5.23081
356;0.593516;0.592767;5.21638
357;0.593638;0.589859;5.21627
358;0.585466;0.590661;5.23085
359;0.590323;0.589913;5.22679
360;0.595873;0.590904;5.23001
361;0.595721;0.589474;5.23747
362;0.588865;0.589177;5.22255
363;0.590519;0.590587;5.21729
364;0.589903;0.590555;5.22606
365;0.583198;0.589067;5.23673
366;0.591543;0.590141;5.22758
367;0.592833;0.590732;5.2276
368;0.592296;0.590719;5.22202
369;0.587504;0.588857;5.21449
370;0.590968;0.588622;5.21896
371;0.588115;0.58821;5.2127
372;0.588908;0.591976;5.22227
373;0.587101;0.589824;5.22495
374;0.594096;0.591692;5.20453
375;0.585962;0.592796;5.22677
376;0.59602;0.589463;5.23087
377;0.586459;0.590548;5.21476
378;0.592298;0.592199;5.2262
379;0.590626;0.590043;5.23705
380;0.593846;0.591075;5.2233
381;0.590093;0.590902;5.21035
382;0.592545;0.589959;5.20555
383;0.589155;0.588357;5.24949
384;0.592465;0.589689;5.22435
385;0.588204;0.590435;5.22699
386;0.585723;0.590479;5.23044
387;0.590532;0.590479;5.22522
388;0.59128;0.591234;5.22853
389;0.587854;0.589624;5.21806
390;0.594896;0.58905;5.21624
391;0.58335;0.590374;5.234
392;0.58872;0.588735;5.21236
393;0.593358;0.58929;5.22676
394;0.589281;0.590024;5.2306
395;0.584008;0.590021;5.21079
396;0.591016;0.58942;5.22716
397;0.590591;0.591181;5.23557
398;0.586853;0.588407;5.22417
399;0.586447;0.592618;5.22205
