nSimulations;Vega_Antithetic;Vega_BS;Relative_Error
477000;-0.00888122;37.524;1.00024
478000;-2.13782;37.524;1.05697
479000;-0.0900353;37.524;1.0024
480000;-0.022274;37.524;1.00059
481000;-0.0317211;37.524;1.00085
482000;-0.00968433;37.524;1.00026
483000;-0.0152358;37.524;1.00041
484000;-0.0189066;37.524;1.0005
485000;-0.03229;37.524;1.00086
486000;-0.146342;37.524;1.0039
487000;-0.21639;37.524;1.00577
488000;-0.0118633;37.524;1.00032
489000;-0.0302817;37.524;1.00081
490000;-0.0822641;37.524;1.00219
491000;-0.143228;37.524;1.00382
492000;-0.0361515;37.524;1.00096
493000;-0.0347099;37.524;1.00093
494000;-0.132925;37.524;1.00354
495000;-0.0169961;37.524;1.00045
496000;-0.037893;37.524;1.00101
497000;-0.0147521;37.524;1.00039
498000;-0.0174029;37.524;1.00046
499000;-0.0917778;37.524;1.00245
500000;-0.0172897;37.524;1.00046
501000;-0.0114869;37.524;1.00031
502000;-0.400102;37.524;1.01066
503000;-0.535792;37.524;1.01428
504000;-0.034499;37.524;1.00092
505000;-0.0253208;37.524;1.00067
506000;-0.0244254;37.524;1.00065
507000;-0.0325384;37.524;1.00087
508000;-0.925624;37.524;1.02467
509000;-0.0409143;37.524;1.00109
510000;-0.0177216;37.524;1.00047
511000;-0.320709;37.524;1.00855
512000;-0.0144745;37.524;1.00039
513000;-0.0113652;37.524;1.0003
514000;-0.299015;37.524;1.00797
515000;-0.00435644;37.524;1.00012
516000;-0.0513721;37.524;1.00137
517000;-0.00916854;37.524;1.00024
518000;-0.0245394;37.524;1.00065
519000;-0.0342218;37.524;1.00091
520000;-0.0184577;37.524;1.00049
521000;-0.0139609;37.524;1.00037
522000;-0.0223404;37.524;1.0006
523000;-0.028042;37.524;1.00075
524000;-0.749247;37.524;1.01997
525000;-0.40554;37.524;1.01081
526000;-0.0799095;37.524;1.00213
527000;-0.0361911;37.524;1.00096
528000;-0.0222376;37.524;1.00059
529000;-0.00780635;37.524;1.00021
530000;-0.0288719;37.524;1.00077
531000;-0.062835;37.524;1.00167
532000;-0.0558218;37.524;1.00149
533000;-0.0378409;37.524;1.00101
534000;-0.0690934;37.524;1.00184
535000;-1.47595;37.524;1.03933
536000;-0.0142298;37.524;1.00038
537000;-0.0315983;37.524;1.00084
538000;-0.0610348;37.524;1.00163
539000;-0.0319882;37.524;1.00085
540000;-0.0469734;37.524;1.00125
541000;-0.0105408;37.524;1.00028
542000;-0.0203729;37.524;1.00054
543000;-0.18116;37.524;1.00483
544000;-0.00619016;37.524;1.00016
545000;-0.0318028;37.524;1.00085
546000;-0.115292;37.524;1.00307
547000;-0.317964;37.524;1.00847
548000;-0.0860811;37.524;1.00229
549000;-0.0432592;37.524;1.00115
550000;-0.00916342;37.524;1.00024
551000;-0.158592;37.524;1.00423
552000;-0.0357662;37.524;1.00095
553000;-0.0307297;37.524;1.00082
554000;-0.0980113;37.524;1.00261
555000;-0.0209626;37.524;1.00056
556000;-0.0531702;37.524;1.00142
557000;-0.0211867;37.524;1.00056
558000;-0.0394094;37.524;1.00105
559000;-0.00975612;37.524;1.00026
560000;-0.0598993;37.524;1.0016
561000;-4.68983;37.524;1.12498
562000;-0.0447629;37.524;1.00119
563000;-0.0139637;37.524;1.00037
564000;-0.0469103;37.524;1.00125
565000;-0.0348112;37.524;1.00093
566000;-0.0277432;37.524;1.00074
567000;-0.29155;37.524;1.00777
568000;-0.0129044;37.524;1.00034
569000;-0.00885866;37.524;1.00024
570000;-0.0110184;37.524;1.00029
571000;-0.0221026;37.524;1.00059
572000;-0.0290117;37.524;1.00077
573000;-0.0200871;37.524;1.00054
574000;-0.287077;37.524;1.00765
575000;-0.0204001;37.524;1.00054
576000;-0.0275478;37.524;1.00073
577000;-0.0137673;37.524;1.00037
578000;-0.0312577;37.524;1.00083
579000;-0.0799731;37.524;1.00213
580000;-0.485665;37.524;1.01294
581000;-0.303222;37.524;1.00808
582000;-0.105539;37.524;1.00281
583000;-0.0100326;37.524;1.00027
584000;-0.0141429;37.524;1.00038
585000;-0.0160187;37.524;1.00043
586000;-0.020775;37.524;1.00055
587000;-0.0306649;37.524;1.00082
588000;-0.294623;37.524;1.00785
589000;-0.0374941;37.524;1.001
590000;-0.0191796;37.524;1.00051
591000;-0.0818468;37.524;1.00218
592000;-0.0610523;37.524;1.00163
593000;-0.029275;37.524;1.00078
594000;-0.0655334;37.524;1.00175
595000;-0.373156;37.524;1.00994
596000;-0.0488682;37.524;1.0013
597000;-0.00937605;37.524;1.00025
598000;-0.028419;37.524;1.00076
599000;-0.0222439;37.524;1.00059
600000;-0.060794;37.524;1.00162
601000;-0.00837229;37.524;1.00022
602000;-0.011435;37.524;1.0003
603000;-0.00783104;37.524;1.00021
604000;-0.0227988;37.524;1.00061
605000;-0.122976;37.524;1.00328
606000;-0.0688169;37.524;1.00183
607000;-3.42245;37.524;1.09121
608000;-0.143894;37.524;1.00383
609000;-0.121282;37.524;1.00323
610000;-0.0216002;37.524;1.00058
611000;-0.0381185;37.524;1.00102
612000;-0.0215454;37.524;1.00057
613000;-0.0327055;37.524;1.00087
614000;-0.011751;37.524;1.00031
615000;-0.0419778;37.524;1.00112
616000;-1.30274;37.524;1.03472
617000;-1.4971;37.524;1.0399
618000;-0.0130146;37.524;1.00035
619000;-0.0197143;37.524;1.00053
620000;-0.0131031;37.524;1.00035
621000;-2.96758;37.524;1.07908
622000;-0.0796736;37.524;1.00212
623000;-0.195868;37.524;1.00522
624000;-0.0118441;37.524;1.00032
625000;-0.132195;37.524;1.00352
626000;-0.256134;37.524;1.00683
627000;-0.0107326;37.524;1.00029
628000;-0.0139411;37.524;1.00037
629000;-0.1156;37.524;1.00308
630000;-0.0161445;37.524;1.00043
631000;-0.105588;37.524;1.00281
632000;-0.0155483;37.524;1.00041
633000;-0.0924332;37.524;1.00246
634000;-0.17294;37.524;1.00461
635000;-0.0211887;37.524;1.00056
636000;-0.0431913;37.524;1.00115
637000;-0.469869;37.524;1.01252
638000;-0.0322905;37.524;1.00086
639000;-0.0330227;37.524;1.00088
640000;-0.0835902;37.524;1.00223
641000;-0.17093;37.524;1.00456
642000;-0.0325546;37.524;1.00087
643000;-0.0272059;37.524;1.00073
644000;-0.0549926;37.524;1.00147
645000;-0.04453;37.524;1.00119
646000;-0.0586431;37.524;1.00156
647000;-0.0552763;37.524;1.00147
648000;-0.0161578;37.524;1.00043
649000;-0.0138529;37.524;1.00037
650000;-0.0307168;37.524;1.00082
651000;-0.017403;37.524;1.00046
652000;-0.0368912;37.524;1.00098
653000;-0.0138531;37.524;1.00037
654000;-3.53187;37.524;1.09412
655000;-0.239732;37.524;1.00639
656000;-0.0271884;37.524;1.00072
657000;-0.0240847;37.524;1.00064
658000;-0.0763049;37.524;1.00203
659000;-0.0111941;37.524;1.0003
660000;-0.017979;37.524;1.00048
661000;-0.0153719;37.524;1.00041
662000;-0.0122583;37.524;1.00033
663000;-0.0249294;37.524;1.00066
664000;-0.0922083;37.524;1.00246
665000;-0.090176;37.524;1.0024
666000;-0.0227534;37.524;1.00061
667000;-0.0385596;37.524;1.00103
668000;-0.0173951;37.524;1.00046
669000;-0.305788;37.524;1.00815
670000;-7.30781;37.524;1.19475
671000;-0.0276217;37.524;1.00074
672000;-0.042722;37.524;1.00114
673000;-0.0144031;37.524;1.00038
674000;-0.00818038;37.524;1.00022
675000;-0.103052;37.524;1.00275
676000;-0.18872;37.524;1.00503
677000;-0.159775;37.524;1.00426
678000;-0.0135108;37.524;1.00036
679000;-0.191797;37.524;1.00511
680000;-0.0232746;37.524;1.00062
681000;-0.0987727;37.524;1.00263
682000;-0.81582;37.524;1.02174
683000;-0.0176295;37.524;1.00047
684000;-0.231345;37.524;1.00617
685000;-0.110361;37.524;1.00294
686000;-0.119555;37.524;1.00319
687000;-0.0544348;37.524;1.00145
688000;-0.0690711;37.524;1.00184
689000;-0.0306849;37.524;1.00082
690000;-0.0139501;37.524;1.00037
691000;-0.0161429;37.524;1.00043
692000;-0.697606;37.524;1.01859
693000;-0.0452959;37.524;1.00121
694000;-0.166037;37.524;1.00442
695000;-0.0578133;37.524;1.00154
696000;-0.178209;37.524;1.00475
697000;-0.426915;37.524;1.01138
698000;-0.04353;37.524;1.00116
699000;-0.019213;37.524;1.00051
700000;-0.0538713;37.524;1.00144
701000;-0.115481;37.524;1.00308
702000;-0.0296801;37.524;1.00079
703000;-0.0216072;37.524;1.00058
704000;-0.0231371;37.524;1.00062
705000;-0.0842032;37.524;1.00224
706000;-0.038576;37.524;1.00103
707000;-0.0303479;37.524;1.00081
708000;-0.261973;37.524;1.00698
709000;-0.0357193;37.524;1.00095
710000;-0.019677;37.524;1.00052
711000;-0.0568057;37.524;1.00151
712000;-0.0221316;37.524;1.00059
713000;-1.89302;37.524;1.05045
714000;-0.100652;37.524;1.00268
715000;-0.0545194;37.524;1.00145
716000;-0.085299;37.524;1.00227
717000;-0.0411937;37.524;1.0011
718000;-0.0102355;37.524;1.00027
719000;-0.0179018;37.524;1.00048
