nSimulations;MC_Price_Antithetic;Relative_Error
785000;10.4661;0.00148035
786000;10.4538;0.000307278
787000;10.4603;0.000930046
788000;10.4345;0.00154151
789000;10.4391;0.00110295
790000;10.4624;0.00113536
791000;10.4457;0.000465944
792000;10.4577;0.000676712
793000;10.4381;0.00119314
794000;10.4579;0.000695708
795000;10.4421;0.000807461
796000;10.4715;0.00200391
797000;10.4717;0.00201955
798000;10.4448;0.000552114
799000;10.4274;0.00222139
800000;10.4429;0.000736979
801000;10.4282;0.00213967
802000;10.4464;0.000397388
803000;10.4791;0.00273346
804000;10.4773;0.00255576
805000;10.4501;5.03384e-05
806000;10.4583;0.000740093
807000;10.4407;0.000950384
808000;10.4463;0.000406254
809000;10.4521;0.00014572
810000;10.4454;0.000493221
811000;10.4657;0.00145026
812000;10.4652;0.00139642
813000;10.448;0.000245746
814000;10.45;5.37231e-05
815000;10.4468;0.000365283
816000;10.4338;0.00160286
817000;10.4522;0.000152393
818000;10.4597;0.00087228
819000;10.4769;0.00252154
820000;10.444;0.000633336
821000;10.4549;0.000411595
822000;10.4489;0.000160842
823000;10.4427;0.000758201
824000;10.4528;0.000216016
825000;10.4456;0.00047758
826000;10.4441;0.000622296
827000;10.4653;0.00140725
828000;10.4492;0.000136282
829000;10.4387;0.00113578
830000;10.4044;0.00441498
831000;10.4669;0.00156067
832000;10.4331;0.00167137
833000;10.4617;0.00106498
834000;10.4482;0.000226916
835000;10.4488;0.000174772
836000;10.4731;0.00215579
837000;10.4642;0.00130033
838000;10.4499;6.27272e-05
839000;10.4584;0.000749557
840000;10.4485;0.000196754
841000;10.4663;0.00150727
842000;10.4549;0.00040972
843000;10.4342;0.00156408
844000;10.4435;0.000677775
845000;10.4248;0.00246423
846000;10.4296;0.00200361
847000;10.4471;0.000334336
848000;10.454;0.000322191
849000;10.4571;0.000623965
850000;10.429;0.00206121
851000;10.465;0.00137835
852000;10.4341;0.00157263
853000;10.4412;0.000896418
854000;10.4394;0.0010737
855000;10.4416;0.00086426
856000;10.4474;0.000305746
857000;10.4507;9.25778e-06
858000;10.4541;0.000337285
859000;10.4329;0.00169676
860000;10.4441;0.000620796
861000;10.4408;0.000934437
862000;10.4339;0.00159425
863000;10.4453;0.000504774
864000;10.448;0.000249068
865000;10.4174;0.00317956
866000;10.4716;0.00200967
867000;10.4561;0.000528935
868000;10.4421;0.000815899
869000;10.4531;0.000239565
870000;10.4369;0.00131407
871000;10.4442;0.000608997
872000;10.4422;0.000799186
873000;10.4486;0.000186416
874000;10.4375;0.00125274
875000;10.4362;0.00137402
876000;10.461;0.0010003
877000;10.4706;0.00191967
878000;10.4635;0.00123367
879000;10.4513;6.41789e-05
880000;10.4678;0.00164896
881000;10.4395;0.0010588
882000;10.4572;0.000628348
883000;10.4376;0.00124323
884000;10.4392;0.00109069
885000;10.464;0.00128312
886000;10.4481;0.000239552
887000;10.4513;6.99526e-05
888000;10.4454;0.000495622
889000;10.4515;8.7338e-05
890000;10.4375;0.00125133
891000;10.4507;8.94553e-06
892000;10.4745;0.00228912
893000;10.4551;0.00043268
894000;10.4531;0.000244381
895000;10.4467;0.000369664
896000;10.4622;0.00111358
897000;10.4492;0.000135824
898000;10.4324;0.00173847
899000;10.4483;0.000223067
900000;10.4367;0.00132394
901000;10.4615;0.00104406
902000;10.4572;0.000633578
903000;10.4324;0.00173852
904000;10.4375;0.00125274
905000;10.4521;0.00014188
906000;10.4596;0.000866078
907000;10.4628;0.00117036
908000;10.4419;0.000835242
909000;10.4506;5.61085e-06
910000;10.4618;0.0010698
911000;10.4576;0.000669999
912000;10.4551;0.000428386
913000;10.4491;0.000140081
914000;10.4441;0.000622992
915000;10.4455;0.000483266
916000;10.4389;0.00111637
917000;10.4467;0.000368688
918000;10.472;0.00204913
919000;10.4421;0.000814797
920000;10.4493;0.000125776
921000;10.4335;0.00163846
922000;10.4531;0.000237162
923000;10.4528;0.000214385
924000;10.4535;0.000275143
925000;10.4281;0.00215194
926000;10.4552;0.000442931
927000;10.4517;0.000108985
928000;10.4526;0.000189971
929000;10.462;0.00109184
930000;10.4449;0.00054457
931000;10.4369;0.00131267
932000;10.4331;0.00167767
933000;10.4416;0.000863003
934000;10.4423;0.000788158
935000;10.4702;0.00187231
936000;10.4678;0.00164743
937000;10.4527;0.000206088
938000;10.435;0.00148884
939000;10.4492;0.000128781
940000;10.4363;0.00136338
941000;10.4314;0.00183586
942000;10.4646;0.00133813
943000;10.4647;0.00135492
944000;10.4583;0.000741806
945000;10.4652;0.00139833
946000;10.4579;0.000701421
947000;10.4544;0.000363208
948000;10.4454;0.000495468
949000;10.4668;0.0015514
950000;10.4622;0.00111606
951000;10.4527;0.000207074
952000;10.4429;0.000739185
953000;10.4542;0.000348591
954000;10.4528;0.000216303
955000;10.4441;0.000618763
956000;10.4414;0.000875443
957000;10.4676;0.00163295
958000;10.4374;0.00126443
959000;10.4456;0.000477795
960000;10.4378;0.00121892
961000;10.4557;0.000486674
962000;10.4466;0.000376683
963000;10.4669;0.00156209
964000;10.4329;0.00169275
965000;10.462;0.00108844
966000;10.4485;0.000200947
967000;10.4621;0.00109892
968000;10.4452;0.000519538
969000;10.4631;0.00119771
970000;10.4674;0.00160582
971000;10.4657;0.00144566
972000;10.4432;0.000710702
973000;10.4406;0.000958763
974000;10.4674;0.00160993
975000;10.4552;0.00043738
976000;10.4542;0.00034719
977000;10.4555;0.000469571
978000;10.4622;0.00111072
979000;10.4699;0.00184632
980000;10.4348;0.00150737
981000;10.4637;0.00125958
982000;10.4567;0.000582429
983000;10.4526;0.00019011
984000;10.452;0.000135738
985000;10.4381;0.00119174
986000;10.4717;0.00202286
987000;10.4624;0.00112669
988000;10.4375;0.001252
989000;10.4422;0.000805442
990000;10.4619;0.0010851
991000;10.4556;0.000479841
992000;10.4389;0.00111904
993000;10.4718;0.00203102
